# Wavelength in Angstroms  # Element name
# includes lines from HeI lamp also
3834.6787    Ar
3888.648     He
3948.9789    Ar
4026.1914    He
4044.4179    Ar
4120.815     He
4158.5907    Ar
4181.8836    Ar
4190.818     Ar
4199.888     Ar
4259.3619    Ar
4334.153     Ar
4345.168     Ar
4471.479     He 
4713.1455    He 
4921.931     He
5015.6779    He
5037.751     Ne
5047.738     He
5080.383     Ne
5116.503     Ne
5188.612     Ne
5203.896     Ne
5222.351     Ne
5330.7775    Ne
5341.585     Ne
5400.5617    Ne
5562.766     Ne
5656.659     Ne
5689.8163    Ne
5719.225     Ne
5748.2985    Ne
5764.4188    Ne
5804.450     Ne
5820.1558    Ne
5852.4878    Ne
5881.895     Ne
5944.8342    Ne
5975.534     Ne
6029.997     Ne
6074.3377    Ne
6096.1631    Ne
6143.0626    Ne
6163.5939    Ne
6217.2812    Ne
6266.495     Ne
6304.789     Ne
6334.4278    Ne
6382.9917    Ne
6402.246     Ne
6506.5281    Ne
6532.8822    Ne
6598.9529    Ne
6678.151     He
6678.276     Ne
6717.043     Ne
6752.8335    Ar
6871.2891    Ar
6929.4673    Ne
6965.4307    Ar
7024.0504    Ne
7032.4131    Ne
7173.9381    Ne
7245.1666    Ne
7272.9359    Ar
7353.293     Ar
7372.1184    Ar
7383.9805    Ar
7488.8712    Ne
7503.8691    Ar
7514.6518    Ar
7535.7739    Ne
7544.0443    Ne
7635.106     Ar
7891.075     Ar
7948.1764    Ar
